"sp","bin","n_oc","mst","n_suitable","species_count"
"Brachiopoda Dicoelosia_verneuiliana","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Plectotreta_lindstroemi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Streptis_grayii","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Dictyonella_capewelli","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Leangella_segmentum","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Eoplectodonta_duvalii","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Pentlandina_loveni","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Leptaenoidea_rugata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Protomegastrophia_semiglobosa","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Coolinia_pecten","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Valdaria_testudo","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Clorinda_rotunda","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Atrypa_hedei","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Spinatrypina_tubulosa","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Plectatrypa_imbricata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Plectatrypa_lamellosa","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Cyrtia_exporrectus","Sheinwoodian","2","26.4358177364207","19","104"
"Brachiopoda Howellella_elegans","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Linoporella_punctata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Rhipidium_tenuistriatum","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Atrypina_barrandii","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Spirigerina_marginalis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Eocoelia_angelini","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Anastrophia_deflexa","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Ptychopleurella_bouchardi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Skenidioides_lewisii","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Isorthis_slitensis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Resserella_canalis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Strophochonetes_cingulatus","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Pentamerus_gothlandicus","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Gypidula_galeata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Antirhynchonella_linguifera","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Stegerhynchus_diodontus","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Meristina_obtusa","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Striispirifer_plicatellus","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Protochonetes_minimus","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Lissatrypa_obovata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Homoeospira_baylei","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Kozlowskiellina_deltidialis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Mesopholidostrophia_laevigata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Strophoprion_euglypha","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Trigonirhynchia_stricklandii","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Ancillotoechia_bidentata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Protozeuga_bicarinata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Glassina_laeviuscula","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Delthyris_elevata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Camarotoechia_nucula","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Cliftonia_lindstromi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Rhipidomella_hybrida","Sheinwoodian","2","14.0142784330839","20","107"
"Brachiopoda Camarotoechia_diodonta","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Eospirifer_interlineatus","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Conchidium_sculptum","Sheinwoodian",NA,NA,NA,NA
"Mollusca Tancrediopsis_gotlandica","Sheinwoodian",NA,NA,NA,NA
"Mollusca Nuculoidea_pinguis","Sheinwoodian",NA,NA,NA,NA
"Mollusca Nuculodonta_gotlandica","Sheinwoodian",NA,NA,NA,NA
"Mollusca Tancrediopsis_solituda","Sheinwoodian",NA,NA,NA,NA
"Mollusca Modiodonta_gothlandica","Sheinwoodian",NA,NA,NA,NA
"Mollusca Goniophora_brimeri","Sheinwoodian",NA,NA,NA,NA
"Mollusca Goniophora_acuta","Sheinwoodian",NA,NA,NA,NA
"Mollusca Ekstadia_kellyi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Orbiculoidea_rugata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Plectatrypa_marginalis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Jonesea_grayi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Isorthis_amplificata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Microsphaeridiorhynchus_nucula","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Nucleospira_lentilca","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Septatrypa_zelia","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Dicoelosia_paralata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Pentlandina_lewisii","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Retziella_weberi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Salopina_submedia","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Epitomyonia_triseptata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Lissidium_erugata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Atrypa_gabrielsi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Dicoelosia_parvifrons","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Costistricklandia_castellana","Sheinwoodian","1",NA,"14","109"
"Brachiopoda Pentameroides_subrectus","Sheinwoodian","1",NA,"16","98"
"Brachiopoda Stegerhynchus_indianense","Sheinwoodian","3","23.1893817434695","15","108"
"Brachiopoda Homoeospira_evax","Sheinwoodian","2","16.4455910294571","15","104"
"Brachiopoda Resserella_waldronensis","Sheinwoodian","1",NA,"15","111"
"Brachiopoda Mendacella_circulus","Sheinwoodian","1",NA,"15","108"
"Brachiopoda Meristina_maria","Sheinwoodian","2","16.4455910294571","15","109"
"Brachiopoda Dictyonella_reticulata","Sheinwoodian","3","23.1893817434695","15","112"
"Brachiopoda Fardenia_subplana","Sheinwoodian","1",NA,"15","101"
"Brachiopoda Strophochonetes_novascotica","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Orthostrophella_clairensis","Sheinwoodian","3","24.8394846967484","13","98"
"Brachiopoda Onychotreta_multiplicata","Sheinwoodian","2","22.1585198061603","13","99"
"Brachiopoda Brachymimulus_americanus","Sheinwoodian","2","22.5146455023673","13","100"
"Brachiopoda Streptis_glomerata","Sheinwoodian","2","11.2249721603218","14","79"
"Brachiopoda Placotriplesia_praecipta","Sheinwoodian","2","22.1585198061603","13","101"
"Brachiopoda Parastrophinella_lepida","Sheinwoodian","2","11.2249721603218","14","105"
"Brachiopoda Antirhynchonella_thomasi","Sheinwoodian","3","24.8394846967484","13","77"
"Brachiopoda Boucotides_barrandei","Sheinwoodian","2","11.2249721603218","14","60"
"Brachiopoda Leangella_dissiticostella","Sheinwoodian","2","22.1585198061603","14","103"
"Brachiopoda Ancillotoechia_marginata","Sheinwoodian","2","11.2249721603218","14","116"
"Brachiopoda Virginiata_arkansana","Sheinwoodian","3","24.8394846967484","14","107"
"Brachiopoda Plicocyrtia_arkansana","Sheinwoodian","2","11.2249721603218","14","98"
"Brachiopoda Eospirifer_acutolineatus","Sheinwoodian","3","24.8394846967484","14","114"
"Brachiopoda Howellella_splendens","Sheinwoodian","2","22.5146455023673","13","103"
"Brachiopoda Kozlowskiellina_vaningeni","Sheinwoodian","2","22.1585198061603","13","103"
"Brachiopoda Atrypina_erugata","Sheinwoodian","2","11.2249721603218","14","75"
"Brachiopoda Nanospira_clairensis","Sheinwoodian","2","22.1585198061603","14","103"
"Brachiopoda Meristina_clairensis","Sheinwoodian","2","11.2249721603218","14","103"
"Brachiopoda Nucleospira_raritas","Sheinwoodian","2","11.2249721603218","14","107"
"Brachiopoda Dicamaropsis_parva","Sheinwoodian","2","22.5146455023673","14","110"
"Brachiopoda Flabellitesia_kessei","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Wangyuia_thorsteinssoni","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Skenidioides_operosa","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Isorthis_jini","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Isorthis_walmsleyi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Isorthis_sulcata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Dicoelosia_bailliehamiltonensis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Epitomyonia_amplissima","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Pseudomendacella_boucoti","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Dalejina_parahanusi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Cliftonia_contorta","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Paranisopleurella_cooperi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Liljevallia_amorpha","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Morinorhynchus_crispus","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Spondylopyxis_potteri","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Amsdenina_amsdeni","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Caryogyps_grayi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Caryogyps_chattertoni","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Rhynchotreta_americaniformis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Stegerhynchus_estonicus","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Spirigerina_copperi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Plectatrypa_rongi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Eospinatrypa_bassetti","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Eospinatrypa_sagana","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Reticulatrypa_blodgetti","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Reticulatrypa_variabilis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Gracianella_dimorpha","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Spurispirifer_hughesi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Atrypa_blodgetti","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Epitomyonia_clausula","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Leptellina_mackenziensis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Pentlandina_harperi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Gracianella_rudicristata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Plectatrypa_unicosta","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Spirinella_tureki","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Atrypa_variabilis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Hercotrema_pentaforma","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Merista_cuneatina","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Pentlandina_lamelliformis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Pholidostrophia_lamellosa","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Ptychopleurella_lenzi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Salopina_carinata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Salopina_robitaillensis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Morinorhynchus_miniparvicostellus","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Vosmiverstum_breiveli","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Cyrtia_alatiformis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Plicocyrtia_jonesi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Janius_occidentalis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Spirinella_struszi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Clorinda_geniculata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Zygatrypa_stenoparva","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Meristina_rectirostra","Sheinwoodian","2","19.4422220952236","14","100"
"Brachiopoda Sphaerirhynchia_stricklandi","Sheinwoodian","2","19.4422220952236","15","112"
"Brachiopoda Stegerhynchus_whitii","Sheinwoodian","2","12.639122819419","15","113"
"Brachiopoda Triplesia_putillus","Sheinwoodian","2","12.639122819419","14","105"
"Brachiopoda Hedeina_eudora","Sheinwoodian","2","19.4422220952236","15","98"
"Brachiopoda Diabolirhynchia_acinus","Sheinwoodian","2","19.4422220952236","14","103"
"Brachiopoda Dalejina_newsomensis","Sheinwoodian","2","19.4422220952236","15","102"
"Brachiopoda Strophonella_semifasciata","Sheinwoodian","2","19.4422220952236","15","90"
"Brachiopoda Merista_nitida","Sheinwoodian","2","19.4422220952236","14","60"
"Mollusca Pterinea_brisa","Sheinwoodian","1",NA,"15","109"
"Brachiopoda Homoeospira_apriniformis","Sheinwoodian","2","9.90959131347","14","106"
"Brachiopoda Whitfieldella_canalis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Salopina_conservatrix","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Hirnantia_sagittifera","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Mesopholidostrophia_salopiensis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Parmorthis_elegantula","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Delthyris_elegans","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Zygospiraella_duboisi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Spirigerina_supramarginalis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Anabaria_rara","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Kozlowskiellina_strawi","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Camarotoechia_neglecta","Sheinwoodian","3","14.0142784330839","19","100"
"Mollusca Pterinea_emacerata","Sheinwoodian","4","18.8718686314938","11","95"
"Brachiopoda Dalmanella_elegantula","Sheinwoodian","4","22.7771815640127","18","113"
"Brachiopoda Dolerorthis_flabellites","Sheinwoodian","2","9.90959131347","20","103"
"Brachiopoda Strophonella_patenta","Sheinwoodian","1",NA,"20","113"
"Brachiopoda Schuchertella_subplana","Sheinwoodian","3","20.7302438317349","18","111"
"Brachiopoda Rhynchotreta_robusta","Sheinwoodian","1",NA,"14","102"
"Brachiopoda Eospinatrypa_nodostriata","Sheinwoodian","3","18.208322529085","19","111"
"Brachiopoda Spirifer_crispus","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Spirifer_niagarensis","Sheinwoodian","4","21.3154269402318","19","110"
"Mollusca Clionychia_undata","Sheinwoodian","2","9.90959131347","14","106"
"Brachiopoda Camarotoechia_obtusiplicata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Rhynchonella_bidentata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Spirifer_sulcatus","Sheinwoodian","3","20.4600597417505","19","104"
"Brachiopoda Bilobites_biloba","Sheinwoodian","1",NA,"19","106"
"Brachiopoda Orthis_tenuidens","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Orthis_punctostriata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Schuchertella_tenuis","Sheinwoodian","2","9.90959131347","19","106"
"Brachiopoda Whitfieldella_naviformis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Schuchertella_interstriata","Sheinwoodian","1",NA,"12","101"
"Brachiopoda Scenidium_pyramidale","Sheinwoodian","1",NA,"11","101"
"Brachiopoda Spirifer_eudora","Sheinwoodian","1",NA,"19","99"
"Brachiopoda Chonetes_cornutus","Sheinwoodian","1",NA,"11","97"
"Brachiopoda Schuchertella_elegans","Sheinwoodian","1",NA,"19","102"
"Brachiopoda Eocoelia_sulcata","Sheinwoodian","2","38.6574772678599","10","97"
"Mollusca Cypricardinia_undulostriata","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Rafinesquina_obscura","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Lingula_perovata","Sheinwoodian","1",NA,"20","105"
"Brachiopoda Lingula_lamellata","Sheinwoodian","1",NA,"20","100"
"Brachiopoda Strophomena_orthididea","Sheinwoodian",NA,NA,NA,NA
"Mollusca Modiolopsis_ovata","Sheinwoodian",NA,NA,NA,NA
"Mollusca Ctenodonta_elliptica","Sheinwoodian","1",NA,"12","99"
"Brachiopoda Katastrophomena_penkillensis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Bellimurina_wisgoriensis","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Leptaena_sperion","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Brachyprion_semiglobosa","Sheinwoodian",NA,NA,NA,NA
"Brachiopoda Atrypa_reticularis","Gorstian",NA,NA,NA,NA
"Brachiopoda Craniops_implicata","Gorstian",NA,NA,NA,NA
"Brachiopoda Dayia_navicula","Gorstian",NA,NA,NA,NA
"Brachiopoda Isorthis_clivosa","Gorstian",NA,NA,NA,NA
"Brachiopoda Lingula_lewisii","Gorstian",NA,NA,NA,NA
"Brachiopoda Orbiculoidea_rugata","Gorstian",NA,NA,NA,NA
"Brachiopoda Protochonetes_ludloviensis","Gorstian",NA,NA,NA,NA
"Brachiopoda Salopina_lunata","Gorstian",NA,NA,NA,NA
"Mollusca Dualina_striata","Gorstian",NA,NA,NA,NA
"Mollusca Goniophora_cymbaeformis","Gorstian",NA,NA,NA,NA
"Mollusca Nuculites_antiqua","Gorstian",NA,NA,NA,NA
"Mollusca Pteronitella_retroflexa","Gorstian",NA,NA,NA,NA
"Mollusca Ptychopteria_tenuistriata","Gorstian",NA,NA,NA,NA
"Brachiopoda Camarotoechia_nucula","Gorstian",NA,NA,NA,NA
"Brachiopoda Howellella_elegans","Gorstian",NA,NA,NA,NA
"Brachiopoda Hyattidina_canalis","Gorstian",NA,NA,NA,NA
"Brachiopoda Isorthis_orbicularis","Gorstian",NA,NA,NA,NA
"Brachiopoda Leptaena_depressa","Gorstian",NA,NA,NA,NA
"Brachiopoda Shaleria_ornatella","Gorstian",NA,NA,NA,NA
"Brachiopoda Sphaerirhynchia_wilsoni","Gorstian",NA,NA,NA,NA
"Mollusca Actinopteria_sowerbyi","Gorstian",NA,NA,NA,NA
"Mollusca Cardiola_interrupta","Gorstian",NA,NA,NA,NA
"Mollusca Cypricardinia_subplanulata","Gorstian",NA,NA,NA,NA
"Brachiopoda Amphistrophiella_funiculata","Gorstian",NA,NA,NA,NA
"Brachiopoda Cyrtia_exporrectus","Gorstian",NA,NA,NA,NA
"Brachiopoda Dalejina_hybrida","Gorstian",NA,NA,NA,NA
"Brachiopoda Eospirifer_radiatus","Gorstian",NA,NA,NA,NA
"Brachiopoda Gypidula_lata","Gorstian",NA,NA,NA,NA
"Brachiopoda Mesoleptostrophia_filosa","Gorstian",NA,NA,NA,NA
"Brachiopoda Mesopholidostrophia_laevigata","Gorstian",NA,NA,NA,NA
"Brachiopoda Protochonetes_minimus","Gorstian",NA,NA,NA,NA
"Brachiopoda Shagamella_ludloviensis","Gorstian",NA,NA,NA,NA
"Brachiopoda Strophoprion_euglypha","Gorstian",NA,NA,NA,NA
"Brachiopoda Leptaena_rhomboidalis","Gorstian",NA,NA,NA,NA
"Mollusca Pterinea_tenuistriata","Gorstian",NA,NA,NA,NA
"Brachiopoda Schizocrania_striata","Gorstian",NA,NA,NA,NA
"Mollusca Pterinea_lineata","Gorstian",NA,NA,NA,NA
"Brachiopoda Microsphaeridiorhynchus_nucula","Gorstian",NA,NA,NA,NA
"Brachiopoda Ptychopleurella_bouchardi","Gorstian",NA,NA,NA,NA
"Brachiopoda Salopina_conservatrix","Gorstian",NA,NA,NA,NA
"Brachiopoda Plectotreta_lindstroemi","Gorstian",NA,NA,NA,NA
"Brachiopoda Jonesea_grayi","Gorstian",NA,NA,NA,NA
"Brachiopoda Morinorhynchus_crispus","Gorstian",NA,NA,NA,NA
"Brachiopoda Protochonetes_striatellus","Gorstian",NA,NA,NA,NA
"Brachiopoda Anastrophia_deflexa","Gorstian",NA,NA,NA,NA
"Brachiopoda Kirkidium_knighti","Gorstian",NA,NA,NA,NA
"Brachiopoda Gypidula_galeata","Gorstian",NA,NA,NA,NA
"Brachiopoda Antirhynchonella_linguifera","Gorstian",NA,NA,NA,NA
"Brachiopoda Stegerhynchus_diodontus","Gorstian",NA,NA,NA,NA
"Brachiopoda Didymothyris_didyma","Gorstian",NA,NA,NA,NA
"Brachiopoda Glassina_laeviuscula","Gorstian",NA,NA,NA,NA
"Brachiopoda Janius_barrandi","Gorstian",NA,NA,NA,NA
"Brachiopoda Striispirifer_plicatellus","Gorstian",NA,NA,NA,NA
"Brachiopoda Kozlowskiellina_deltidialis","Gorstian",NA,NA,NA,NA
"Brachiopoda Levenea_canaliculata","Gorstian",NA,NA,NA,NA
"Brachiopoda Resserella_canalis","Gorstian",NA,NA,NA,NA
"Brachiopoda Dictyonella_capewelli","Gorstian",NA,NA,NA,NA
"Brachiopoda Coolinia_pecten","Gorstian",NA,NA,NA,NA
"Brachiopoda Argyrotheca_cuneata","Gorstian",NA,NA,NA,NA
"Brachiopoda Lissatrypa_obovata","Gorstian",NA,NA,NA,NA
"Brachiopoda Coelospira_pusilla","Gorstian",NA,NA,NA,NA
"Brachiopoda Homoeospira_baylei","Gorstian",NA,NA,NA,NA
"Brachiopoda Nucleospira_pisum","Gorstian",NA,NA,NA,NA
"Brachiopoda Boucotinskia_sulcata","Gorstian",NA,NA,NA,NA
"Brachiopoda Atrypina_barrandii","Gorstian",NA,NA,NA,NA
"Brachiopoda Conchidium_conchidium","Gorstian",NA,NA,NA,NA
"Brachiopoda Delthyris_elevata","Gorstian",NA,NA,NA,NA
"Brachiopoda Dicoelosia_biloba","Gorstian",NA,NA,NA,NA
"Brachiopoda Dinorthis_rigida","Gorstian",NA,NA,NA,NA
"Brachiopoda Eospirifer_interlineatus","Gorstian",NA,NA,NA,NA
"Brachiopoda Eospirifer_schmidti","Gorstian",NA,NA,NA,NA
"Brachiopoda Leptostrophia_impressa","Gorstian",NA,NA,NA,NA
"Brachiopoda Plectatrypa_marginalis","Gorstian",NA,NA,NA,NA
"Brachiopoda Rhynchospira_baylei","Gorstian",NA,NA,NA,NA
"Mollusca Cypricardinia_crispula","Gorstian",NA,NA,NA,NA
"Mollusca Ilionia_prisca","Gorstian",NA,NA,NA,NA
"Mollusca Pterinea_nodulosa","Gorstian",NA,NA,NA,NA
"Mollusca Yonginella_amica","Gorstian",NA,NA,NA,NA
"Mollusca Freja_nodosa","Gorstian",NA,NA,NA,NA
"Brachiopoda Camarotoechia_diodonta","Gorstian",NA,NA,NA,NA
"Brachiopoda Chonetes_striatellus","Gorstian",NA,NA,NA,NA
"Brachiopoda Dolerorthis_rustica","Gorstian",NA,NA,NA,NA
"Brachiopoda Rhipidomella_hybrida","Gorstian",NA,NA,NA,NA
"Brachiopoda Linoporella_punctata","Gorstian",NA,NA,NA,NA
"Brachiopoda Atrypa_phoca","Gorstian",NA,NA,NA,NA
"Brachiopoda Strophomena_orbignyi","Gorstian",NA,NA,NA,NA
"Mollusca Ekstadia_kellyi","Gorstian",NA,NA,NA,NA
"Mollusca Goniophora_brimeri","Gorstian",NA,NA,NA,NA
"Mollusca Goniophora_acuta","Gorstian",NA,NA,NA,NA
"Brachiopoda Lissatrypa_sulcata","Gorstian",NA,NA,NA,NA
"Brachiopoda Plectatrypa_imbricata","Gorstian",NA,NA,NA,NA
"Mollusca Cardiola_docens","Gorstian",NA,NA,NA,NA
"Brachiopoda Metaplasia_hemicona","Gorstian",NA,NA,NA,NA
"Brachiopoda Meristina_mora","Gorstian",NA,NA,NA,NA
"Brachiopoda Leptaena_odeon","Gorstian",NA,NA,NA,NA
"Brachiopoda Amphistrophiella_standinia","Gorstian",NA,NA,NA,NA
"Brachiopoda Howellella_crispa","Gorstian",NA,NA,NA,NA
"Brachiopoda Janius_bouskai","Gorstian",NA,NA,NA,NA
"Brachiopoda Hebetoechia_sphaerulea","Gorstian",NA,NA,NA,NA
"Brachiopoda Atrypoidea_renitens","Gorstian",NA,NA,NA,NA
"Brachiopoda Atrypinella_fuxa","Gorstian",NA,NA,NA,NA
"Brachiopoda Sufetirhyncha_radvani","Gorstian",NA,NA,NA,NA
"Brachiopoda Atrypa_fumosa","Gorstian",NA,NA,NA,NA
"Brachiopoda Dictyonella_bohemica","Gorstian",NA,NA,NA,NA
"Mollusca Cardiola_gibbosa","Gorstian",NA,NA,NA,NA
"Mollusca Butovicella_migrans","Gorstian",NA,NA,NA,NA
"Brachiopoda Dubaria_megaera","Gorstian",NA,NA,NA,NA
"Brachiopoda Alaskospira_carens","Gorstian",NA,NA,NA,NA
"Brachiopoda Spirinella_tureki","Gorstian",NA,NA,NA,NA
"Brachiopoda Skenidioides_moranus","Gorstian",NA,NA,NA,NA
"Brachiopoda Conchidium_hospes","Gorstian",NA,NA,NA,NA
"Brachiopoda Clorinda_pseudolinguifera","Gorstian",NA,NA,NA,NA
"Brachiopoda Cryptatrypa_fahraeusi","Gorstian",NA,NA,NA,NA
"Brachiopoda Stegerhynchus_angaciensis","Gorstian",NA,NA,NA,NA
"Brachiopoda Aesopomum_prongsi","Gorstian",NA,NA,NA,NA
"Brachiopoda Howellella_bragensis","Gorstian",NA,NA,NA,NA
"Brachiopoda Shaleria_ezerensis","Gorstian",NA,NA,NA,NA
"Brachiopoda Lepidoleptaena_poulseni","Gorstian",NA,NA,NA,NA
"Brachiopoda Ancillotoechia_bidentata","Gorstian",NA,NA,NA,NA
"Brachiopoda Stegorhynchella_diodonta","Gorstian",NA,NA,NA,NA
"Brachiopoda Septatrypa_linguata","Gorstian",NA,NA,NA,NA
"Brachiopoda Brooksina_striata","Gorstian",NA,NA,NA,NA
"Brachiopoda Brooksina_alaskensis","Gorstian",NA,NA,NA,NA
"Brachiopoda Vagranella_diversoplicata","Gorstian",NA,NA,NA,NA
"Brachiopoda Subriana_subrini","Gorstian",NA,NA,NA,NA
"Brachiopoda Harpidium_insignis","Gorstian",NA,NA,NA,NA
"Brachiopoda Atrypoidea_camelina","Gorstian",NA,NA,NA,NA
"Brachiopoda Lissatrypa_compressaformis","Gorstian",NA,NA,NA,NA
"Brachiopoda Crassatrypa_diversa","Gorstian",NA,NA,NA,NA
"Brachiopoda Tectatrypa_tectiformis","Gorstian",NA,NA,NA,NA
"Brachiopoda Atrypa_losvensis","Gorstian",NA,NA,NA,NA
"Brachiopoda Merista_upsilon","Gorstian",NA,NA,NA,NA
"Brachiopoda Conchidium_largum","Gorstian",NA,NA,NA,NA
"Brachiopoda Gypidula_galjanensis","Gorstian",NA,NA,NA,NA
"Brachiopoda Gypidula_optata","Gorstian",NA,NA,NA,NA
"Brachiopoda Spirigerina_supramarginalis","Gorstian",NA,NA,NA,NA
