oc_w.singl_min,oc_w.singl_med,oc_w.singl_max,oc_w.singl_mean,oc_wo.singl_min,oc_wo.singl_med,oc_wo.singl_max,oc_wo.singl_mean,mst_min,mst_med,mst_max,mst_mean,species_count,pool_n,mst_sample,seed_cell,bin
1,1,4,1.428571429,2,3,4,2.8,12.63912282,17.87441891,24.03002865,18.57615286,21,16,51.86698656,17938,Tremadocian
1,2,4,1.909090909,2,2,4,2.428571429,12.63912282,17.90011298,27.24743937,20.14387862,11,16,54.74168787,19792,Tremadocian
1,1,3,1.363636364,2,2,3,2.333333333,12.63912282,17.16000497,27.24743937,18.47928727,22,16,52.51506882,17938,Tremadocian
1,1,4,1.4,2,2,4,2.333333333,12.63912282,21.4858202,27.24743937,20.98065801,20,15,52.51506882,17564,Tremadocian
1,1,4,1.571428571,2,2,4,2.333333333,12.63912282,22.21308118,27.24743937,21.22307833,14,15,53.66996762,18677,Tremadocian
1,1,4,1.55,2,2.5,4,2.833333333,12.63912282,19.8830109,27.15123759,20.4213371,20,16,53.10285762,16822,Tremadocian
1,1,3,1.352941176,2,2.5,3,2.5,16.06074175,16.67482819,17.90011298,16.82762778,17,16,56.90816796,19792,Tremadocian
1,1,4,1.5625,2,2,4,2.5,16.44559103,22.21308118,27.24743937,22.02908262,16,15,44.50938134,19047,Tremadocian
1,1,3,1.4,2,2,3,2.333333333,15.87450787,21.71505737,27.24743937,21.61532436,20,16,52.89310552,17938,Tremadocian
1,1,4,1.333333333,2,2.5,4,2.75,12.63912282,17.88726594,21.89160289,17.5763144,21,16,59.09009823,18318,Tremadocian
1,1,4,1.35,2,2,4,2.4,15.87450787,16.44559103,27.15123759,20.48859538,20,16,52.98108215,16822,Tremadocian
1,1,3,1.4,2,2,3,2.142857143,14.01427843,17.90011298,39.45678829,22.15019881,20,16,61.53110629,17938,Tremadocian
1,1,4,1.5625,2,2,4,2.5,16.44559103,22.21308118,27.24743937,22.02908262,16,15,44.50938134,18677,Tremadocian
1,1,3,1.454545455,2,2,3,2.25,12.63912282,17.87441891,26.52604938,19.0289193,22,15,53.1145074,17564,Tremadocian
1,1.5,4,1.857142857,2,2,4,2.714285714,12.63912282,21.89160289,39.45678829,23.14068727,14,16,61.42428209,18689,Tremadocian
